message,datetime,user,message_id
Peak profit for the last 6 expired option alerts for $AAPL 252.00  | 26.94  | 140.00  | 51.11  | 361.38  | 460.87  |,2020-07-19T09:49:35Z,1442893,229008387
"$AAPL [Jul-17 382.50 Calls] Option volume Up +144.44 % |  Volume: 5,346 vs 2,187 [URL]",2020-07-19T09:47:26Z,1442893,229008357
$TSLA the market will be in true bubble territory when a profitable company like $AMzN $AAPL $MSFT are trading at a current $TSLA multiple.,2020-07-19T09:01:25Z,1115913,229007569
$AAPL was analyzed by 26 analysts. The buy consensus is at 86%. So analysts seem to be very confident about $AAPL. [URL],2020-07-19T08:13:00Z,47688,229006733
"$AAPL NEW ARTICLE : Dogs Of The Dow For August: 4 To Adopt, More To Ignore [URL]",2020-07-19T07:54:05Z,1555408,229006403
Stocks Rebound Sharply $AAPL $MSFT $TSLA $SPY [URL],2020-07-19T07:52:28Z,296805,229006376
$NDX  $QQQ  $AAPL $NQ_F   The Next CRASH will be lead by the Nasdaq &amp; Apple  Watch the video the catalyst for the CRASH and why the Nasdaq 100 is about to get hit by a wrecking ball.  [URL],2020-07-19T07:38:53Z,23557,229006126
"$MSFT $AMZN $GOOG $AAPL A lot of people don&39;t realize that stocks aren&39;t actually stocks in the traditional sense of equities being &quot;at risk&quot; anymore. We&39;re in a world where the FED&39;s mandates prevent them from doing much of anything but print a ton of money. When the stock market is everyone&39;s 401k and wealth, saving the economy actually means saving the stock market. It&39;s a tough pill for many to swallow because the jobless claims are rising and by any measure stocks &quot;should&quot; be going down, but they aren&39;t, and it&39;s because the FED has essentially turned them into variable rate treasuries. Pretty soon they&39;ll outright support stock prices by directly buying equities, very soon. Then you&39;ll witness the meltup of a lifetime as the poorest 90% of our country get absolutely devastated and the richest 10% get so much richer it&39;ll be bonkers. I&39;m planning to get my fair share of the trillions getting printed. &quot;Trade the market that&39;s in front of you, not the one you think it should be&quot;.",2020-07-19T07:32:10Z,1340663,229005999
 :face_with_tears_of_joy:  :rolling_on_the_floor_laughing:  :grinning_face_with_sweat:   $AAPL $TSLA $AMZN $SPY $FB,2020-07-19T07:30:05Z,2859254,229005960
$AAPL: The area of 358 - 373 (if reached) can end cycle from 7.13 high in 3 waves and turns higher from there elliottwave trading,2020-07-19T07:29:23Z,128933,229005946
"Updated correlation matrix for Consolidated Edison($ED), Apple($AAPL),… [URL] stocks earnings",2020-07-19T06:52:02Z,56948,229005041
$SPY $AMZN $AAPL $ZM $AMD Watch Trump pucker his a hole (as he should) because CHINA CONTROLS OUR SUPPLIES AND NOW CAPITAL MARKET) at 50 seconds. Fox News cuts him off (to save him). He then YELLS at BRETT for EXPOSING THE TRUTH.  :face_with_tears_of_joy:  :pile_of_poo:  :fire:  :man_facepalming: [URL] a national emergency. Trump is lying. To “show no weakness”. Fooling his supporters. It’s a war.,2020-07-19T05:36:08Z,2909088,229002859
$AAPL “may the odds be ever in your favor.”,2020-07-19T05:28:40Z,1464151,229002563
"Updated correlation matrix for Apple($AAPL), Tenet… [URL] insidertrading stocks fintechnews",2020-07-19T05:26:42Z,56948,229002496
"$TSLA  :backhand_index_pointing_right:  Jeremy, one of the biggest Tesla Pumpers said, &quot;If you&39;re buying the stock at $1500, you better be confident in 3 things&quot;. Now only 2.5% of world car sales are EV vehicles.1. &quot;All cars sold in 10 years will be EVs&quot;. :woman_facepalming_light_skin_tone:   In Asia or other side countries, more than 95% of homes don&39;t have the concept of garage to charge at night.2. &quot;Tesla should be No.1 or 2 player &amp; dominant market share in US &amp; EU &amp; China: 25-50% market share.&quot; :woman_facepalming_light_skin_tone:   There are still consumer preference &amp; brand royalty over BMW, Audi, Mercedez, Toyota, AND strong demands for affordable EVs in Asia and other continents. 3.  &quot;Tesla should be No.1 or No.2 autonomous player in Long term&quot; :woman_facepalming_light_skin_tone:   People are already locked in iOS and Android(device, car, IoT). They&39;re already working on it. What makes you think Tesla win against tech giants?$SPY $AAPL $NKLA $FORD  P.S. Please debate, don&39;t curse me with F or C words. Let&39;s put the battery &amp; SpaceX business on the side.  :smiling_face_with_hearts: [URL]",2020-07-19T05:12:28Z,1165200,229001944
$SPY $AAPL $AMZN $FB $TSLA we did it guys! Moon. watchthis  readtheseGet bearish quick!  :fire:  [URL],2020-07-19T05:06:36Z,2909088,229001679
