created_at,favorite_count,retweet_count,view_count,text
Mon Jan 01 20:48:37 +0000 2024,50,13,7669,"$AAPL - Monthly Chart: :warning: Reversal candles in the monthly are something to pay attention when they come up in the Apple chart. :warning: This increases the odds for a pullback starting the year. :information: Stochastic shows a bullish crossover, that was meaningless on 2021 as indicated, and the… [URL]"
Mon Jan 01 12:48:10 +0000 2024,8,2,1790,"Happy New Year, Traders! Best of luck 2024 $AAPL $ABBV $ADBE $AMD $AMZN $AZO $BA $BABA $DIS $META $FDX $HD $INTC $IWM $JPM $LMT $LOW $MA $MSFT $NFLX $NVDA $RH $ROKU $SNAP $SPY $T $TLT $TSLA $UVXY $V $VXX $XOM [URL]"
Mon Jan 01 23:24:59 +0000 2024,100,22,6916,"More than 42 million transactions were completed in just 24hrs. That’s the power of $algo Algorand,despite those who mistakenly call it a dead chain.  :clown_face:  $btc $sol $ada $shib $doge $hbar $spy $tsla $nvda $amzn $meta $googl $nflx $aapl $ba $avgo. $cro $bnb [URL]"
Mon Jan 01 20:13:15 +0000 2024,1,0,252,LETS GET LITTLE BIT ROMANTIC! $AAPL [URL]
Mon Jan 01 16:12:30 +0000 2024,27,7,1772," :police_car_light: THE END, IS THE BEGINNING :police_car_light: E1 S2We wrapped up with OpEx &amp; it lived up to it’s reputation!GEX was heavy at 4850 &amp; 4800, once we knew the mission, the ride was an simple trade!It’s a new year, but it is the same market!Lets plan &amp; grow!$SPY $SPX $ES $MES $NQ $QQQ $AAPL [URL]"
Mon Jan 01 01:09:00 +0000 2024,2,0,361,Starting New Year with a fresh new setup  :fire:   Locked in and super excited to crush 2024 with the gang  :flexed_biceps:   Hope everyone has a fun and safe New Year’s Eve  :red_heart:  $SPY $AAPL $TSLA $NVDA $AMD $QQQ $NQ $MSFT $NFLX $AMZN $META $GOOGL [URL]
Mon Jan 01 19:28:03 +0000 2024,799,174,131585,"Last 10 Years.NVIDIA $NVDA: +13,006%Bitcoin $BTC: +5,482%$AMD: +3,709%Tesla $TSLA: +2,378%Microsoft $MSFT: +1,094%Apple $AAPL: +997%Netflix $NFLX: +826%Amazon $AMZN: +664%Facebook $META: +548%Google $GOOGL: +398%S&amp;P 500 $SPY: +208%Gold $GLD: +65%US CPI: +32%"
Mon Jan 01 18:45:54 +0000 2024,6,0,554,How $AAPL &amp; $GOOGL makes money. [URL]
Mon Jan 01 19:41:10 +0000 2024,23,4,3443,"$MARA MARA ıf gives the opportunity in the $19-$20 range this week, I will add it. if not, I will continue with what I have.Bitcoin $AMZN $MSFT $SPCE $SMCI $SOFI $ENPH $TEAM $GOOGL $CFLT $DOCN $PATH $PANW $AAPL $BLNK $ASTS $CELH $CRWD $CVNA $SMCI $S $TMDX $MDB $GLBE $MELI… [URL]"
Mon Jan 01 16:33:43 +0000 2024,152,21,13984,30 Years Of Dividend StocksBeating the S&amp;P 500 $VOO :shopping_cart:  $PG  :toolbox:  $HD :cigarette:  $MO :bullseye:  $TGT :package:  $UPS :bank:  $BAC :test_tube:  $BMY :hamburger:  $MCD :red_apple:  $AAPL :pill:  $ABBV16.37% Annually Since 1993.Do you think they can outperform?
