,label,Unnamed: 0,message,datetime
62,1,62,"$AAPL Sentiment is highly positive right now. News mentions: positive (36), negative (1), neutral (14) Sentiment score: +1.304 (scale of -1.5 to +1.5) Stock alerts, news, and research tools at tradethehalt.com",2020-07-18T23:02:09Z
64,2,64,DIGITAL CROWN has been filed for trademark by Apple Inc. [URL] DIGITALCROWN $AAPL DIGITAL CROWN,2020-07-18T22:53:09Z
73,2,73,"$SPY $QQQ $AAPL $UVXY $TGT Every week we offer our near-term and long-term outlook for the market and economy. Last weekend&39;s Report we offered our the following, calling for new bear-to-bull market highs, which was achieved. You know where to get fact-driven analytics!",2020-07-18T22:06:31Z
100,2,100,$XSPA look.there is no place testing is more important that the airport.we are the only ones that do it.that is all you really need to know.$TSLA $MSFT $AAPL,2020-07-18T19:25:00Z
280,2,280,Your daily News digest for Apple Inc $AAPL [URL],2020-07-17T20:53:53Z
341,2,341,$AAPL this could really wake up if it can go green.,2020-07-17T19:22:25Z
383,2,383,$AAPL they just wearing out options Monday will be bull,2020-07-17T18:43:47Z
477,1,477,$AAPL failing on its 5 min base break and flat vwap.  Why stop is raised quick.  I am all out and made a little coin.,2020-07-17T16:58:11Z
554,2,554,$AAPL took of some jet fuel. $MSFT on that 87 octane.,2020-07-17T16:02:25Z
559,2,559,$AAPL see ya next week. I&39;m out,2020-07-17T15:59:44Z
584,2,584,"$AAPL lol, IV slaughter day",2020-07-17T15:46:16Z
588,2,588,$AAPL A great day again,2020-07-17T15:44:42Z
622,1,622,"$INO guys, something big is happening from yesterday&39;s close, PREMARKET trading, and this type of volume. $SQ $ATVI $WMT $AAPL get in INO on any dip you get.",2020-07-17T15:24:06Z
628,1,628,$AAPL more puts . this dead bird will drop to $300,2020-07-17T15:18:20Z
664,2,664,$AAPL novn will double your money this month,2020-07-17T14:51:59Z
668,1,668,Nasdaq loosing a little bit of steam on the 1hr. Multiple uptrend breaks on $QQQ after dead cat bouncing off a 50%. A look on the weekly might indicate further bearish consolidation ahead. $NQ_F $TSLA $MSFT $AAPL,2020-07-17T14:50:24Z
674,1,674,$AAPL wow very well planned Bear trap as earnings are very near so that they can buy for low. Every year Tech stocks increases from that of last year. Micrisoft always beat the above estimate in earnings.,2020-07-17T14:45:23Z
938,0,938,"$SPY $AAPL $GOOGL $MSFT $TSLA 1. 1.3M more files for unemployment. 2. Total 18% of Americans are unemployed and lost consuming/purchase power.3. Corporations are shrinking budget to minimum.GL, Bulls.[URL]",2020-07-17T04:11:40Z
1026,2,1026,$AAPL The New Apple Sanlitun Opens [URL],2020-07-17T01:00:34Z
1040,2,1040,$AAPL,2020-07-17T00:20:07Z
1049,1,1049,$AAPL solid effort towards the end there to push over 385. Feeling very bullish tomorrow,2020-07-17T00:01:00Z
1133,2,1133,$SPY Every dip is a buy opportunity! $AAPL $AMZN $TSLA $AMD,2020-07-16T20:58:42Z
1225,2,1225,$AAPL Take profit on rips like that.crazy easy! $,2020-07-16T19:41:14Z
1428,2,1428,$AAPL Hi fam! I just inherited some shares.I&39;m officially part of the family now? wheres the beer and chips? lol,2020-07-16T17:00:58Z
1462,2,1462,$AAPL done taking a shit?!got damn! lol,2020-07-16T16:37:06Z
1495,2,1495,$AAPL P/E Ration of 29.,2020-07-16T16:14:20Z
1496,2,1496,"$AAPL Here we go again on CNBC with the bearish tone on Apple. The guy is comparing  Apple to Capital One, loser",2020-07-16T16:14:18Z
1503,2,1503,$DGLY this will get on the news.Trump admin will want to promote it! $TSLA $MSFT $AAPL,2020-07-16T16:02:44Z
1599,2,1599,"$AAL Just sit back, When Jeff and Tim realize a Brand New, Never Flown Boeing 737 waiting for them to pick out colors for and send out to paint, they will pull out thier piggy banks and scrounge around for the quarters to buy up the American Airlines Share Float Within 3 days they will have 51 % of the share count and the planes are theirs. $AAPL $AMZN",2020-07-16T14:46:21Z
1654,2,1654,$AAPL 380,2020-07-16T14:13:43Z
1708,0,1708,$AAPL market actualky dropping on china news,2020-07-16T13:30:07Z
1732,2,1732,$AAPL are the $400 17th calls screwd? Glad I got 24th,2020-07-16T13:14:40Z
1823,1,1823,"$AAPL Apple price target raised to $444 from $310 at Canaccord. looks like 400 is on hold for now, however with TSM earnings and this PT raise we can get green while the market is in the red.",2020-07-16T11:22:46Z
1841,1,1841,The Nasdaq is approaching -2% premarket.How low can it go? bit.ly/2CmdQd4$QQQ $USTEC $TQQQ $SQQQ $AAPL,2020-07-16T10:41:58Z
1843,2,1843,"$TSLA $NIO $AMZN $AAPL today China, tomorrow DOW",2020-07-16T10:27:30Z
1852,2,1852,$AAPL never seen a stream filled with more useless dribble than this one god help us all !,2020-07-16T09:55:48Z
1853,2,1853,$AAPL mark of the beast $366.66,2020-07-16T09:54:34Z
1867,2,1867," :children_crossing:  Moderna, VBI Vaccines, Apple, and Rigel made the TOP Robinhood traders “most love” holdings today. The most increase in  RH traders owning the stock. You can follow the daily updates and changes to RH list at TheLion home page. $AAPL $MRNA $VBIV $RIGL",2020-07-16T08:44:15Z
1993,1,1993,Last Strong USMarkets mega  stocks Technical Analysis today: $AAPL $[URL],2020-07-16T00:31:21Z
2024,2,2024,$AAPL looking like a pull back ?.am should be fun,2020-07-15T23:10:07Z
2065,1,2065,@Rockyboystocks me when $AAPL hits $400,2020-07-15T21:47:58Z
2094,1,2094,$AAL $AAPL $NFLX $AMZN $GS Rip us baby.Team’s overnight swing pos7/24 aapl 395 c7/14 nflx 550 c7/24 amzn 3200 c7/31 gs 220 c$aal shares from $11.6Btfd !  :baby_bottle: ,2020-07-15T20:43:04Z
2122,1,2122,$AAPL what a fucking disappointing day. to open up at 396 and go all the way down to 385. smh,2020-07-15T20:06:53Z
2155,2,2155,$AAPL when we hitting over 4 hunnid?!  Need my beer drinking money.,2020-07-15T19:42:56Z
2167,2,2167,"$AAPL Apple’s market valuation could balloon to $2 trillion by the end of the year, says Wedbush analyst Dan Ives.[URL]",2020-07-15T19:32:16Z
2253,2,2253,$AAPL,2020-07-15T18:26:18Z
2278,2,2278,$AAPL wow. Wtf,2020-07-15T18:03:08Z
2402,2,2402,$TSLA $AAPL $NFLX $SPY $QQQthey loooooooove catchin folks slippin.,2020-07-15T16:20:45Z
2403,1,2403,$AAPL hilarious  :face_with_tears_of_joy:  people panic because Governor is sick from Covid lol it’s okay he’ll recover and be richer than those selling but you will miss on gains when This all rebounds and hits new 52 highs lol,2020-07-15T16:20:06Z
2522,1,2522,$AAPL *buys at the top*,2020-07-15T15:14:46Z
2545,2,2545,$AAPL This is so dirty,2020-07-15T15:08:53Z
2553,2,2553,$AAPL lol wtf,2020-07-15T15:07:34Z
2558,2,2558,@Trading4Living hurts where they say relevant. We are after their defense stocks and The telecom so I imagine $BA and $AAPL,2020-07-15T15:06:56Z
2682,2,2682,$AAPL what’s holding it back,2020-07-15T14:18:08Z
2689,2,2689,"my bad. This one. $SPY $AAPL $BTC.X $AAPL $ZMIm here  to help. FB@risksavahemarket if u need it. 36 &amp; FINANCIaLLy INDependent!What is F.I.R.E? Not working for the man. I can help I get there. Message me if u need help. Basically, if you fooked up and are holding any large Caps, FAANG, MAGA u be smoked shortly. Lack of Financial education abundant here. STOP TRaDING NOW! I can help. Or trade away on your lunch break.  :man_shrugging:  [URL]  :rocket:  :money-mouth_face: watchthis FB@risksavagemarketgifthorse yourewelcome (GNLN) Bearish",2020-07-15T14:15:46Z
2691,2,2691,$AAL $AAPL Apple may want To buy American Airlines to secure it&39;s shipments.,2020-07-15T14:14:14Z
2715,1,2715,Green schlongs all day. $AAPL $MSFT $SPY  $DKNG,2020-07-15T14:03:28Z
2718,1,2718,$AAPL $SPY nice consolidation and bleed up.,2020-07-15T14:00:38Z
2719,2,2719,$AAPL I love trading apple. only trading this from here on out. I just keep flipping calls. +1656 today on 377s I picked up yesterday.,2020-07-15T14:00:02Z
2762,2,2762,If $AAPL blows past 400 today . It could be an epic run,2020-07-15T13:43:16Z
2792,2,2792,$AAPL another day another million,2020-07-15T13:27:45Z
2818,2,2818,$AAPL people tryin to get in cheaper for the run up this week. lol,2020-07-15T13:12:34Z
2857,2,2857,$AAPL today we will see $410,2020-07-15T12:46:39Z
2942,1,2942,U.S. Stock Futures Rally Amid Fresh Hopes for a Covid-19 Vaccine  $MRNA $AZN $GS $AAPL $ASML [URL],2020-07-15T11:49:40Z
2970,2,2970,$AAPL Remember the days when the stock trading below market multiples it’s anything but now,2020-07-15T11:22:48Z
3088,1,3088,"$GOOG $GOOGL: Everything is overpriced right now. If buying for a 10-yr horizon, Alphabet shouldn&39;t scare you. $AAPL @DanaBlankenhorn [URL]",2020-07-15T09:25:23Z
3100,2,3100,Apple wins backing of EU court over 13 billion euros in unpaid taxes— CNBC$AAPL,2020-07-15T09:17:11Z
3136,2,3136,$AAPL $392 PM! :dizzy: ,2020-07-15T06:22:26Z
